key;identity;latitude_p;longitude_p;latitude_d;longitude_d;number_people
u1;d10;35.846377;14.401655;35.863944;14.508826;1
u2;d20;35.887131;14.497267;35.900094;14.420673;2
u3;d30;35.929024;14.433823;35.887856;14.434887;3
u4;d40;35.845083;14.527481;35.958519;14.36185;2
u5;d50;35.890592;14.469545;35.854735;14.527125;1
u6;d60;35.885561;14.387005;35.946309;14.419283;2
u7;d70;35.837131;14.47568;35.877379;14.537346;1
u8;d80;35.932434;14.465858;35.986799;14.330287;2
u9;d90;35.814807;14.523563;35.854071;14.442159;1
u10;d100;35.923736;14.376637;35.916907;14.488344;3
